Field ID,Field,Domain,Type,Description
mortgages.occupancy,Occupancy,Mortgages,text,"Illustrative values: Owner occupied, Investment, Second home."
mortgages.repayment_type,Repayment type,Mortgages,text,Illustrative values: Principal and interest.
mortgages.valuation_date,Valuation date,Mortgages,date,Synthetic valuation date for mortgages; illustrative test data.
mortgages.insurance_required,Insurance required,Mortgages,boolean,Synthetic insurance required for mortgages; illustrative test data.
mortgages.escrow_balance,Escrow balance,Mortgages,decimal,Synthetic escrow balance. Illustrative range: 0 to 10000.
mortgages.payment_day,Payment day,Mortgages,integer,Synthetic payment day. Illustrative range: 1 to 28.
mortgages.days_past_due,Days past due,Mortgages,integer,Synthetic days past due. Illustrative range: 0 to 180.
mortgages.mortgage_status,Mortgage status,Mortgages,text,"Illustrative values: Performing, Delinquent, Closed."
mortgages.lien_position,Lien position,Mortgages,integer,Synthetic lien position. Illustrative range: 1 to 2.
businesses.business_id,Business ID,Business banking,text,Unique fictional primary key; automatically included for this table.
businesses.customer_id,Customer ID,Business banking,text,Join key to Customer profiles; a matching parent record is included.
businesses.legal_name,Legal name,Business banking,text,"Fictional legal name; test-only values, not a real identity or payment credential."
businesses.trading_name,Trading name,Business banking,text,"Fictional trading name; test-only values, not a real identity or payment credential."
businesses.registration_reference,Registration reference,Business banking,text,"Fictional registration reference; test-only values, not a real identity or payment credential."
businesses.incorporation_date,Incorporation date,Business banking,date,Synthetic incorporation date for business banking; illustrative test data.
businesses.incorporation_country,Incorporation country,Business banking,text,Synthetic incorporation country for business banking; illustrative test data.
businesses.legal_structure,Legal structure,Business banking,text,"Illustrative values: Limited company, Partnership, Sole proprietor."
businesses.industry_code,Industry code,Business banking,text,"Illustrative values: TEST-RET, TEST-TEC, TEST-MFG."
businesses.industry_description,Industry description,Business banking,text,"Illustrative values: Retail, Technology, Manufacturing."
businesses.annual_turnover,Annual turnover,Business banking,decimal,Synthetic annual turnover. Illustrative range: 100000 to 10000000.
businesses.employee_count,Employee count,Business banking,integer,Synthetic employee count. Illustrative range: 1 to 5000.
businesses.business_size,Business size,Business banking,text,"Illustrative values: Micro, Small, Medium, Large."
businesses.registered_address,Registered address,Business banking,text,"Fictional registered address; test-only values, not a real identity or payment credential."
businesses.operating_address,Operating address,Business banking,text,"Fictional operating address; test-only values, not a real identity or payment credential."
businesses.contact_email,Contact email,Business banking,text,"Fictional contact email; test-only values, not a real identity or payment credential."
businesses.contact_phone,Contact phone,Business banking,text,"Fictional contact phone; test-only values, not a real identity or payment credential."
businesses.website,Website,Business banking,text,"Fictional website; test-only values, not a real identity or payment credential."
businesses.tax_reference,Tax reference,Business banking,text,"Fictional tax reference; test-only values, not a real identity or payment credential."
businesses.ownership_type,Ownership type,Business banking,text,"Illustrative values: Private, Public, State owned."
businesses.beneficial_owner_count,Beneficial owner count,Business banking,integer,Synthetic beneficial owner count. Illustrative range: 1 to 10.
businesses.listing_status,Listing status,Business banking,text,"Illustrative values: Listed, Unlisted."
businesses.financial_year_end,Financial year end,Business banking,text,"Illustrative values: 12-31, 03-31, 06-30, 09-30."
businesses.banking_relationship_years,Banking relationship years,Business banking,integer,Synthetic banking relationship years. Illustrative range: 0 to 30.
businesses.business_status,Business status,Business banking,text,"Illustrative values: Active, Inactive, Dissolved."
trade_finance.trade_id,Trade ID,Trade finance,text,Unique fictional primary key; automatically included for this table.
trade_finance.business_id,Business ID,Trade finance,text,Join key to Business banking; a matching parent record is included.
trade_finance.instrument_type,Instrument type,Trade finance,text,"Illustrative values: Letter of credit, Guarantee, Documentary collection."
trade_finance.instrument_reference,Instrument reference,Trade finance,text,"Fictional instrument reference; test-only values, not a real identity or payment credential."
trade_finance.currency,Currency,Trade finance,text,Synthetic currency for trade finance; illustrative test data.
trade_finance.face_amount,Face amount,Trade finance,decimal,Synthetic face amount. Illustrative range: 10000 to 1000000.
trade_finance.issue_date,Issue date,Trade finance,date,Synthetic issue date for trade finance; illustrative test data.
trade_finance.expiry_date,Expiry date,Trade finance,date,Synthetic expiry date for trade finance; illustrative test data.
trade_finance.applicant_name,Applicant name,Trade finance,text,"Fictional applicant name; test-only values, not a real identity or payment credential."
trade_finance.beneficiary_name,Beneficiary name,Trade finance,text,"Fictional beneficiary name; test-only values, not a real identity or payment credential."
trade_finance.issuing_bank,Issuing bank,Trade finance,text,"Fictional issuing bank; test-only values, not a real identity or payment credential."
trade_finance.advising_bank,Advising bank,Trade finance,text,"Fictional advising bank; test-only values, not a real identity or payment credential."
trade_finance.confirming_bank,Confirming bank,Trade finance,text,"Fictional confirming bank; test-only values, not a real identity or payment credential."
trade_finance.shipment_country,Shipment country,Trade finance,text,Synthetic shipment country for trade finance; illustrative test data.
trade_finance.destination_country,Destination country,Trade finance,text,Synthetic destination country for trade finance; illustrative test data.
trade_finance.goods_description,Goods description,Trade finance,text,"Illustrative values: Synthetic electronics, Synthetic textiles, Synthetic equipment."
trade_finance.incoterm,Incoterm,Trade finance,text,"Illustrative values: FOB, CIF, DAP, EXW."
trade_finance.latest_shipment_date,Latest shipment date,Trade finance,date,Synthetic latest shipment date for trade finance; illustrative test data.
trade_finance.tenor_days,Tenor days,Trade finance,integer,Synthetic tenor days. Illustrative range: 30 to 180.
trade_finance.available_amount,Available amount,Trade finance,decimal,Available amount calculated from related values in this synthetic dataset.
trade_finance.utilized_amount,Utilized amount,Trade finance,decimal,Utilized amount calculated from related values in this synthetic dataset.
trade_finance.margin_percent,Margin percent,Trade finance,decimal,Synthetic margin percent. Illustrative range: 0 to 30.
trade_finance.commission_rate,Commission rate,Trade finance,decimal,Synthetic commission rate. Illustrative range: 0 to 3.
trade_finance.document_status,Document status,Trade finance,text,"Illustrative values: Pending, Received, Discrepant, Accepted."
trade_finance.instrument_status,Instrument status,Trade finance,text,"Illustrative values: Issued, Amended, Expired, Closed."
kyc.kyc_id,Kyc ID,KYC & onboarding,text,Unique fictional primary key; automatically included for this table.
kyc.customer_id,Customer ID,KYC & onboarding,text,Join key to Customer profiles; a matching parent record is included.
kyc.review_reference,Review reference,KYC & onboarding,text,"Fictional review reference; test-only values, not a real identity or payment credential."
kyc.verification_status,Verification status,KYC & onboarding,text,"Illustrative values: Pending, Verified, Needs review."
kyc.verification_date,Verification date,KYC & onboarding,date,Synthetic verification date for kyc & onboarding; illustrative test data.
kyc.next_review_date,Next review date,KYC & onboarding,date,Synthetic next review date for kyc & onboarding; illustrative test data.
kyc.document_type,Document type,KYC & onboarding,text,"Illustrative values: Test passport, Test national ID, Test permit."
kyc.document_reference,Document reference,KYC & onboarding,text,"Fictional document reference; test-only values, not a real identity or payment credential."
kyc.document_issue_date,Document issue date,KYC & onboarding,date,Synthetic document issue date for kyc & onboarding; illustrative test data.
kyc.document_expiry_date,Document expiry date,KYC & onboarding,date,Synthetic document expiry date for kyc & onboarding; illustrative test data.
kyc.issuing_country,Issuing country,KYC & onboarding,text,Synthetic issuing country for kyc & onboarding; illustrative test data.
kyc.address_verified,Address verified,KYC & onboarding,boolean,Synthetic address verified for kyc & onboarding; illustrative test data.
kyc.identity_verified,Identity verified,KYC & onboarding,boolean,Synthetic identity verified for kyc & onboarding; illustrative test data.
kyc.source_of_funds,Source of funds,KYC & onboarding,text,"Illustrative values: Salary, Business income, Savings, Inheritance."
kyc.source_of_wealth,Source of wealth,KYC & onboarding,text,"Illustrative values: Employment, Business, Investment, Inheritance."
kyc.expected_monthly_volume,Expected monthly volume,KYC & onboarding,decimal,Synthetic expected monthly volume. Illustrative range: 100 to 100000.
kyc.expected_transaction_count,Expected transaction count,KYC & onboarding,integer,Synthetic expected transaction count. Illustrative range: 1 to 500.
kyc.politically_exposed,Politically exposed,KYC & onboarding,boolean,Synthetic politically exposed for kyc & onboarding; illustrative test data.
kyc.sanctions_screening_result,Sanctions screening result,KYC & onboarding,text,"Illustrative values: Clear, Potential match, Review required."
kyc.adverse_media_result,Adverse media result,KYC & onboarding,text,"Illustrative values: Clear, Potential match."
kyc.risk_score,Risk score,KYC & onboarding,integer,Synthetic risk score. Illustrative range: 0 to 100.
kyc.risk_rating,Risk rating,KYC & onboarding,text,"Illustrative values: Low, Medium, High."
kyc.enhanced_due_diligence,Enhanced due diligence,KYC & onboarding,boolean,Synthetic enhanced due diligence for kyc & onboarding; illustrative test data.
kyc.reviewer_reference,Reviewer reference,KYC & onboarding,text,"Fictional reviewer reference; test-only values, not a real identity or payment credential."
kyc.onboarding_channel,Onboarding channel,KYC & onboarding,text,"Illustrative values: Branch, Mobile, Online, Partner."
aml_alerts.alert_id,Alert ID,AML monitoring,text,Unique fictional primary key; automatically included for this table.
aml_alerts.transaction_id,Transaction ID,AML monitoring,text,Join key to Transactions; a matching parent record is included.
aml_alerts.alert_reference,Alert reference,AML monitoring,text,"Fictional alert reference; test-only values, not a real identity or payment credential."
aml_alerts.created_at,Created at,AML monitoring,datetime,Synthetic created at for aml monitoring; illustrative test data.
aml_alerts.rule_code,Rule code,AML monitoring,text,"Illustrative values: TEST-HIGH-VALUE, TEST-VELOCITY, TEST-CROSS-BORDER."
aml_alerts.rule_name,Rule name,AML monitoring,text,Illustrative values: Illustrative monitoring rule.
aml_alerts.alert_type,Alert type,AML monitoring,text,"Illustrative values: Transaction monitoring, Behavior review."
aml_alerts.severity,Severity,AML monitoring,text,"Illustrative values: Low, Medium, High, Critical."
aml_alerts.risk_score,Risk score,AML monitoring,integer,Synthetic risk score. Illustrative range: 0 to 100.
aml_alerts.alert_status,Alert status,AML monitoring,text,"Illustrative values: Open, In review, Closed, Escalated."
aml_alerts.assigned_analyst,Assigned analyst,AML monitoring,text,"Fictional assigned analyst; test-only values, not a real identity or payment credential."
aml_alerts.case_reference,Case reference,AML monitoring,text,"Fictional case reference; test-only values, not a real identity or payment credential."
aml_alerts.detection_channel,Detection channel,AML monitoring,text,"Illustrative values: Batch, Real-time."
aml_alerts.transaction_count,Transaction count,AML monitoring,integer,Synthetic transaction count. Illustrative range: 1 to 100.
aml_alerts.aggregate_amount,Aggregate amount,AML monitoring,decimal,Synthetic aggregate amount. Illustrative range: 1000 to 1000000.
aml_alerts.currency,Currency,AML monitoring,text,Synthetic currency for aml monitoring; illustrative test data.
aml_alerts.monitoring_window_days,Monitoring window days,AML monitoring,integer,Synthetic monitoring window days. Illustrative range: 1 to 90.
aml_alerts.threshold_amount,Threshold amount,AML monitoring,decimal,Synthetic threshold amount. Illustrative range: 1000 to 100000.
aml_alerts.reason_code,Reason code,AML monitoring,text,"Illustrative values: TEST-THRESHOLD, TEST-PATTERN, TEST-COUNTRY."
aml_alerts.disposition,Disposition,AML monitoring,text,"Illustrative values: Unresolved, False positive, Further review."
aml_alerts.escalation_required,Escalation required,AML monitoring,boolean,Synthetic escalation required for aml monitoring; illustrative test data.
aml_alerts.investigation_note,Investigation note,AML monitoring,text,Illustrative values: Synthetic alert for workflow testing only.
aml_alerts.model_version,Model version,AML monitoring,text,"Illustrative values: test-v1, test-v2."
aml_alerts.review_due_date,Review due date,AML monitoring,date,Synthetic review due date for aml monitoring; illustrative test data.
aml_alerts.is_test_alert,Is test alert,AML monitoring,boolean,Synthetic is test alert for aml monitoring; illustrative test data.
digital_sessions.session_id,Session ID,Digital banking,text,Unique fictional primary key; automatically included for this table.
digital_sessions.customer_id,Customer ID,Digital banking,text,Join key to Customer profiles; a matching parent record is included.
digital_sessions.login_at,Login at,Digital banking,datetime,Synthetic login at for digital banking; illustrative test data.
digital_sessions.logout_at,Logout at,Digital banking,datetime,Logout at calculated from related values in this synthetic dataset.
digital_sessions.duration_seconds,Duration seconds,Digital banking,integer,Synthetic duration seconds. Illustrative range: 10 to 7200.
digital_sessions.channel,Channel,Digital banking,text,"Illustrative values: Mobile, Web."
digital_sessions.device_id,Device ID,Digital banking,text,"Fictional device id; test-only values, not a real identity or payment credential."
digital_sessions.device_type,Device type,Digital banking,text,"Illustrative values: Phone, Tablet, Desktop."
digital_sessions.operating_system,Operating system,Digital banking,text,"Illustrative values: Test iOS, Test Android, Test Windows, Test Linux."
digital_sessions.browser,Browser,Digital banking,text,"Illustrative values: Test Chrome, Test Safari, Test Firefox."
digital_sessions.app_version,App version,Digital banking,text,"Illustrative values: 1.0.0, 1.1.0, 2.0.0."
digital_sessions.ip_address,IP address,Digital banking,text,"Fictional ip address; test-only values, not a real identity or payment credential."
digital_sessions.country,Country,Digital banking,text,Synthetic country for digital banking; illustrative test data.
digital_sessions.city,City,Digital banking,text,"Illustrative values: Test Central, Test North, Test West."
digital_sessions.authentication_method,Authentication method,Digital banking,text,"Illustrative values: Password, Biometric, Passkey."
digital_sessions.multi_factor_used,Multi factor used,Digital banking,boolean,Synthetic multi factor used for digital banking; illustrative test data.
digital_sessions.login_result,Login result,Digital banking,text,"Illustrative values: Success, Failed, Locked."
digital_sessions.failed_attempts,Failed attempts,Digital banking,integer,Synthetic failed attempts. Illustrative range: 0 to 5.
digital_sessions.pages_viewed,Pages viewed,Digital banking,integer,Synthetic pages viewed. Illustrative range: 1 to 50.
digital_sessions.actions_count,Actions count,Digital banking,integer,Synthetic actions count. Illustrative range: 0 to 30.
digital_sessions.payment_initiated,Payment initiated,Digital banking,boolean,Synthetic payment initiated for digital banking; illustrative test data.
digital_sessions.password_changed,Password changed,Digital banking,boolean,Synthetic password changed for digital banking; illustrative test data.
digital_sessions.new_device,New device,Digital banking,boolean,Synthetic new device for digital banking; illustrative test data.
digital_sessions.session_risk_score,Session risk score,Digital banking,integer,Synthetic session risk score. Illustrative range: 0 to 100.
digital_sessions.connection_type,Connection type,Digital banking,text,"Illustrative values: WiFi, Mobile, Wired."
branches.branch_id,Branch ID,Branch network,text,Unique fictional primary key; automatically included for this table.
branches.branch_code,Branch code,Branch network,text,"Fictional branch code; test-only values, not a real identity or payment credential."
branches.branch_name,Branch name,Branch network,text,"Fictional branch name; test-only values, not a real identity or payment credential."
branches.branch_type,Branch type,Branch network,text,"Illustrative values: Retail, Corporate, Digital service center."
branches.address,Address,Branch network,text,"Fictional address; test-only values, not a real identity or payment credential."
branches.city,City,Branch network,text,"Illustrative values: Test Central, Test North, Test West."
branches.country,Country,Branch network,text,Synthetic country for branch network; illustrative test data.
branches.postal_code,Postal code,Branch network,text,"Fictional postal code; test-only values, not a real identity or payment credential."
branches.region,Region,Branch network,text,"Illustrative values: North, South, East, West, Central."
branches.phone,Phone,Branch network,text,"Fictional phone; test-only values, not a real identity or payment credential."
branches.email,Email,Branch network,text,"Fictional email; test-only values, not a real identity or payment credential."
branches.opening_date,Opening date,Branch network,date,Synthetic opening date for branch network; illustrative test data.
branches.branch_status,Branch status,Branch network,text,"Illustrative values: Open, Temporarily closed."
branches.manager_reference,Manager reference,Branch network,text,"Fictional manager reference; test-only values, not a real identity or payment credential."
branches.staff_count,Staff count,Branch network,integer,Synthetic staff count. Illustrative range: 2 to 100.
branches.atm_count,Atm count,Branch network,integer,Synthetic atm count. Illustrative range: 0 to 10.
branches.counter_count,Counter count,Branch network,integer,Synthetic counter count. Illustrative range: 1 to 20.
branches.accessible_entrance,Accessible entrance,Branch network,boolean,Synthetic accessible entrance for branch network; illustrative test data.
branches.weekend_service,Weekend service,Branch network,boolean,Synthetic weekend service for branch network; illustrative test data.
branches.cash_service,Cash service,Branch network,boolean,Synthetic cash service for branch network; illustrative test data.
branches.advisory_service,Advisory service,Branch network,boolean,Synthetic advisory service for branch network; illustrative test data.
branches.safe_deposit_service,Safe deposit service,Branch network,boolean,Synthetic safe deposit service for branch network; illustrative test data.
branches.opening_hour,Opening hour,Branch network,text,"Illustrative values: 08:00, 09:00, 10:00."
branches.closing_hour,Closing hour,Branch network,text,"Illustrative values: 16:00, 17:00, 18:00."
branches.timezone,Timezone,Branch network,text,"Illustrative values: Asia/Singapore, Europe/London, America/New_York, Europe/Berlin."
complaints.complaint_id,Complaint ID,Service & complaints,text,Unique fictional primary key; automatically included for this table.
complaints.customer_id,Customer ID,Service & complaints,text,Join key to Customer profiles; a matching parent record is included.
complaints.case_reference,Case reference,Service & complaints,text,"Fictional case reference; test-only values, not a real identity or payment credential."
complaints.received_date,Received date,Service & complaints,date,Synthetic received date for service & complaints; illustrative test data.
complaints.channel,Channel,Service & complaints,text,"Illustrative values: Phone, Email, Branch, Online."
complaints.category,Category,Service & complaints,text,"Illustrative values: Service, Fees, Payments, Access, Product."
complaints.subcategory,Subcategory,Service & complaints,text,"Illustrative values: Delay, Incorrect charge, Availability, Communication."
complaints.product_area,Product area,Service & complaints,text,"Illustrative values: Accounts, Cards, Loans, Payments."
complaints.subject,Subject,Service & complaints,text,"Illustrative values: Synthetic service case, Synthetic fee query, Synthetic access issue."
complaints.description,Description,Service & complaints,text,Illustrative values: Fictional complaint for case-management testing.
complaints.priority,Priority,Service & complaints,text,"Illustrative values: Low, Normal, High."
complaints.complaint_status,Complaint status,Service & complaints,text,"Illustrative values: Open, In progress, Resolved."
complaints.assigned_team,Assigned team,Service & complaints,text,"Illustrative values: Service, Operations, Product."
complaints.assigned_agent,Assigned agent,Service & complaints,text,"Fictional assigned agent; test-only values, not a real identity or payment credential."
complaints.response_due_date,Response due date,Service & complaints,date,Synthetic response due date for service & complaints; illustrative test data.
complaints.resolution_code,Resolution code,Service & complaints,text,"Illustrative values: Pending, Explanation, Refund, Correction."
complaints.compensation_amount,Compensation amount,Service & complaints,decimal,Synthetic compensation amount. Illustrative range: 0 to 1000.
complaints.currency,Currency,Service & complaints,text,Synthetic currency for service & complaints; illustrative test data.
complaints.customer_satisfaction_score,Customer satisfaction score,Service & complaints,integer,Synthetic customer satisfaction score. Illustrative range: 1 to 5.
complaints.escalated,Escalated,Service & complaints,boolean,Synthetic escalated for service & complaints; illustrative test data.
complaints.regulatory_referral,Regulatory referral,Service & complaints,boolean,Synthetic regulatory referral for service & complaints; illustrative test data.
complaints.contact_preference,Contact preference,Service & complaints,text,"Illustrative values: Email, Phone, Letter."
complaints.follow_up_required,Follow up required,Service & complaints,boolean,Synthetic follow up required for service & complaints; illustrative test data.
complaints.attachment_count,Attachment count,Service & complaints,integer,Synthetic attachment count. Illustrative range: 0 to 10.
complaints.response_time_hours,Response time hours,Service & complaints,integer,Synthetic response time hours. Illustrative range: 1 to 240.
consents.consent_id,Consent ID,Consent & preferences,text,Unique fictional primary key; automatically included for this table.
consents.customer_id,Customer ID,Consent & preferences,text,Join key to Customer profiles; a matching parent record is included.
consents.consent_reference,Consent reference,Consent & preferences,text,"Fictional consent reference; test-only values, not a real identity or payment credential."
consents.consent_type,Consent type,Consent & preferences,text,"Illustrative values: Marketing, Analytics, Open banking, Data sharing."
consents.purpose,Purpose,Consent & preferences,text,Illustrative values: Synthetic consent workflow testing.
consents.consent_status,Consent status,Consent & preferences,text,"Illustrative values: Granted, Withdrawn, Expired."
consents.captured_date,Captured date,Consent & preferences,date,Synthetic captured date for consent & preferences; illustrative test data.
consents.expiry_date,Expiry date,Consent & preferences,date,Synthetic expiry date for consent & preferences; illustrative test data.
consents.capture_channel,Capture channel,Consent & preferences,text,"Illustrative values: Mobile, Web, Branch, Phone."
consents.policy_version,Policy version,Consent & preferences,text,"Illustrative values: test-1.0, test-2.0."
consents.policy_language,Policy language,Consent & preferences,text,"Illustrative values: English, Mandarin, Malay, Tamil."
consents.email_marketing,Email marketing,Consent & preferences,boolean,Synthetic email marketing for consent & preferences; illustrative test data.
consents.sms_marketing,Sms marketing,Consent & preferences,boolean,Synthetic sms marketing for consent & preferences; illustrative test data.
consents.phone_marketing,Phone marketing,Consent & preferences,boolean,Synthetic phone marketing for consent & preferences; illustrative test data.
consents.push_notifications,Push notifications,Consent & preferences,boolean,Synthetic push notifications for consent & preferences; illustrative test data.
consents.third_party_sharing,Third party sharing,Consent & preferences,boolean,Synthetic third party sharing for consent & preferences; illustrative test data.
consents.profiling_allowed,Profiling allowed,Consent & preferences,boolean,Synthetic profiling allowed for consent & preferences; illustrative test data.
consents.analytics_allowed,Analytics allowed,Consent & preferences,boolean,Synthetic analytics allowed for consent & preferences; illustrative test data.
consents.data_scope,Data scope,Consent & preferences,text,"Illustrative values: Profile, Accounts, Transactions, All selected."
consents.recipient_reference,Recipient reference,Consent & preferences,text,"Fictional recipient reference; test-only values, not a real identity or payment credential."
consents.retention_days,Retention days,Consent & preferences,integer,Synthetic retention days. Illustrative range: 30 to 730.
consents.proof_reference,Proof reference,Consent & preferences,text,"Fictional proof reference; test-only values, not a real identity or payment credential."
consents.ip_address,IP address,Consent & preferences,text,"Fictional ip address; test-only values, not a real identity or payment credential."
consents.device_reference,Device reference,Consent & preferences,text,"Fictional device reference; test-only values, not a real identity or payment credential."
consents.renewal_required,Renewal required,Consent & preferences,boolean,Synthetic renewal required for consent & preferences; illustrative test data.
